Ort;Zusatz;Plz;Vorwahl;Bundesland,,
Aach;bei Trier;54298;0651;Rheinland-Pfalz,,
Aach;, Hegau;78267;07774;Baden-Wuerttemberg,
Aachen;;52062;0241;Nordrhein-Westfalen,,
Aachen;;52064;0241;Nordrhein-Westfalen,,
Aachen;;52066;0241;Nordrhein-Westfalen,,
Aachen;;52068;0241;Nordrhein-Westfalen,,
Aachen;;52070;0241;Nordrhein-Westfalen,,
Aachen;;52072;0241;Nordrhein-Westfalen,,
Aachen;;52074;0241;Nordrhein-Westfalen,,
Aachen;;52076;0241;Nordrhein-Westfalen,,
Aachen;;52078;0241;Nordrhein-Westfalen,,
Aachen;;52080;0241;Nordrhein-Westfalen,,
Aalen;, Baden-Wuerttemberg;73430;07361;Baden-Wuerttemberg,
Aalen;, Baden-Wuerttemberg;73431;07361;Baden-Wuerttemberg,
Aalen;, Baden-Wuerttemberg;73432;07361;Baden-Wuerttemberg,
Aalen;, Baden-Wuerttemberg;73433;07361;Baden-Wuerttemberg,
Aalen;, Baden-Wuerttemberg;73434;07361;Baden-Wuerttemberg,
Aarbergen;;65326;06120;Hessen,,
Aasbuettel;;25560;04892;Schlewig-Holstein,,
Abbau Ader;;29416;;Sachsen-Anhalt,,
Abbendorf;an der Havel;19322;038791;Brandenburg,,
Abbenrode;bei Wernigerode;38871;039452;Sachsen-Anhalt,,
Abberode;;06543;034779;Sachsen-Anhalt,,
Abenberg;, Mittelfranken;91183;09178;Bayern,
Abend;;01623;035246;Sachsen,,
Abensberg;, Hallertau;93326;09443;Bayern,
Abentheuer;;55767;06782;Rheinland-Pfalz,,
Abraham;, Kreis Passau;94036;;Bayern,
Absberg;;91720;09175;Bayern,,
Abstatt;;74232;07062;Baden-Wuerttemberg,,
Abtloebnitz;;06628;034466;Sachsen-Anhalt,,
Abtsbessingen;;99713;036020;Thueringen,,
Abtsdorf;bei Lutherstadt Wittenberg;06888;03491;Sachsen-Anhalt,,
Abtsgmuend;;73453;07366;Baden-Wuerttemberg,,
Abtsteinach;;69518;06207;Hessen,,
Abtswind;;97355;09383;Bayern,,
Abtweiler;;55568;06753;Rheinland-Pfalz,,
Achberg;bei Lindau, Bodensee;88147;08380;Baden-Wuerttemberg,
Achen;bei Evenhausen, Oberbayern;83552;08075;Bayern,
Achern;, Baden;77855;07841;Baden-Wuerttemberg,
Achim;bei Bremen;28832;04202;Niedersachsen,,
Achim;, Kreis Wolfenbuettel;38312;05334;Niedersachsen,
Achslach;;94250;09929;Bayern,,
Achstetten;;88480;07392;Baden-Wuerttemberg,,
Acht;;56729;02656;Rheinland-Pfalz,,
Achtelsbach;;55767;06782;Rheinland-Pfalz,,
Achterspannerhof;;56299;;Rheinland-Pfalz,,
Achterwehr;;24239;04340;Schlewig-Holstein,,
Achtrup;;25917;04662;Schlewig-Holstein,,
Ackendorf;bei Haldensleben;39343;039202;Sachsen-Anhalt,,
Ackermannshof;;16259;033451;Brandenburg,,
Adamshoffnung;;17213;039932;Mecklenburg-Vorpommern,,
Addebuell;;25842;04672;Schlewig-Holstein,,
Adelberg;, Baden-Wuerttemberg;73099;07166;Baden-Wuerttemberg,
Adelebsen;;37139;05506;Niedersachsen,,
Adelhausen;bei Hildburghausen;98646;03685;Thueringen,,
Adelheidsdorf;;29352;05085;Niedersachsen,,
Adelmannsfelden;;73486;07963;Baden-Wuerttemberg,,
Adelschlag;;85111;08421;Bayern,,
Adelsdorf;bei Grossenhain, Sachsen;01561;03522;Sachsen,
Adelsdorf;, Mittelfranken;91325;09195;Bayern,
Adelsheim;;74740;06291;Baden-Wuerttemberg,,
Adelshofen;, Kreis Fuerstenfeldbruck;82276;08146;Bayern,
Adelshofen;, Mittelfranken;91587;09865;Bayern,
Adelsried;bei Augsburg;86477;08294;Bayern,,
Adelzhausen;;86559;08258;Bayern,,
Adenau;;53518;02691;Rheinland-Pfalz,,
Adenbach;;67742;06753;Rheinland-Pfalz,,
Adenbuettel;;38528;05304;Niedersachsen,,
Adendorf;, Kreis Lueneburg;21365;04131;Niedersachsen,
Adenstedt;bei Alfeld, Leine;31079;05060;Niedersachsen,
Aderstedt;bei Bernburg;06408;03471;Sachsen-Anhalt,,
Aderstedt;bei Halberstadt;38838;039428;Sachsen-Anhalt,,
Adlersteige;;73479;07961;Baden-Wuerttemberg,,
Adligstadt;;83364;08666;Bayern,,
Adlkofen;bei Landshut, Isar;84166;08707;Bayern,
Adlkofen;bei Landshut, Isar;84166;08707;Bayern,
Admannshagen-Bargeshagen;;18211;038203;Mecklenburg-Vorpommern,,
Adorf;, Vogtland;08626;037423;Sachsen,
Aebtissinwisch;;25572;04825;Schlewig-Holstein,,
Aerzen;;31855;05154;Niedersachsen,,
Affalterbach;, Baden-Wuerttemberg;71563;07144;Baden-Wuerttemberg,
Affing;;86444;08207;Bayern,,
Affinghausen;;27257;04247;Niedersachsen,,
Affler;;54689;06524;Rheinland-Pfalz,,
Aftholderbach;;56355;06772;Rheinland-Pfalz,,
Agathenburg;;21684;04141;Niedersachsen,,
Agethorst;;25560;04892;Schlewig-Holstein,,
Aglasterhausen;;74858;06262;Baden-Wuerttemberg,,
Aham;, Vils;84168;08744;Bayern,
Ahaus;;48683;02561;Nordrhein-Westfalen,,
Ahausen;, Kreis Rotenburg, Wuemme;27367;04269;Niedersachsen
Ahlbeck;;17375;039775;Mecklenburg-Vorpommern,,
Ahlden;(Aller);29693;05164;Niedersachsen,,
Ahlefeld;bei Rendsburg;24811;04353;Schlewig-Holstein,,
Ahlen;, Westfalen;59227;02382;Nordrhein-Westfalen,
Ahlen;, Westfalen;59229;02382;Nordrhein-Westfalen,
Ahlerstedt;;21702;04166;Niedersachsen,,
